"id","name","slide_id"
"42","slide_1.png","1"
"45","slide_2.1.png","3"
"46","three copy.png","3"
"48","slide_3.0.png","2"
"49","slide_3.1.png","2"
"51","slide_4.0.png","4"
"52","four.png","4"
"69","five.png","7"
"75","six.png","10"
"84","eight_1.png","14"
"85","nine_1.png","14"
"86","ten_1.png","14"
"87","eight.png","15"
"88","nine.png","15"
"89","ten.png","15"
"90","eleven.png","16"
"93","twelve.png","17"
"96","therteen.png","18"
"99","fourteen copy.png","19"
"100","fourteen.png","19"
"102","fifteen.png","20"
"105","table.jpeg","22"
"111","sixteen.png","24"
"114","seventeen.png","25"
"117","eightteen copy 2.png","26"
"118","eightteen copy.png","26"
"119","eightteen.png","26"
"120","nineteen.png","27"
"129","twentey copy 2.png","28"
"130","twentey copy.png","28"
"131","twentey.png","28"
"132","one copy 2.png","29"
"133","one copy.png","29"
"134","one.png","29"
"138","one_1.png","33"
"141","one_12.png","34"
"145","last.png","35"
